Comuna,Age,Dose,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05
Algarrobo,Total,First,4241,4371,4426,4477,4577,4577
Algarrobo,Total,Second,8,8,8,30,100,100
Algarrobo,15-20,First,17,17,19,19,19,19
Algarrobo,15-20,Second,1,1,1,1,2,2
Algarrobo,21-30,First,137,138,139,141,145,145
Algarrobo,21-30,Second,6,6,6,13,28,28
Algarrobo,31-40,First,190,207,223,228,229,229
Algarrobo,31-40,Second,1,1,1,8,21,21
Algarrobo,41-50,First,212,216,218,219,222,222
Algarrobo,41-50,Second,0,0,0,3,16,16
Algarrobo,51-60,First,242,244,247,250,258,258
Algarrobo,51-60,Second,0,0,0,1,6,6
Algarrobo,61-70,First,1379,1476,1502,1540,1620,1620
Algarrobo,61-70,Second,0,0,0,4,9,9
Algarrobo,71-72,First,357,360,361,361,361,361
Algarrobo,71-72,Second,0,0,0,0,3,3
Algarrobo,73-74,First,311,312,312,312,312,312
Algarrobo,73-74,Second,0,0,0,0,0,0
Algarrobo,75-77,First,453,455,456,457,458,458
Algarrobo,75-77,Second,0,0,0,0,2,2
Algarrobo,78-79,First,233,233,234,234,235,235
Algarrobo,78-79,Second,0,0,0,0,4,4
Algarrobo,80 y más,First,710,713,715,716,718,718
Algarrobo,80 y más,Second,0,0,0,0,9,9
Alhué,Total,First,1258,1327,1368,1413,1449,1449
Alhué,Total,Second,0,0,0,20,64,64
Alhué,15-20,First,11,11,11,11,11,11
Alhué,15-20,Second,0,0,0,0,0,0
Alhué,21-30,First,106,119,119,127,130,130
Alhué,21-30,Second,0,0,0,7,12,12
Alhué,31-40,First,117,137,148,156,159,159
Alhué,31-40,Second,0,0,0,3,9,9
Alhué,41-50,First,87,90,94,94,95,95
Alhué,41-50,Second,0,0,0,1,1,1
Alhué,51-60,First,95,106,108,111,112,112
Alhué,51-60,Second,0,0,0,2,4,4
Alhué,61-70,First,410,429,450,474,501,501
Alhué,61-70,Second,0,0,0,0,1,1
Alhué,71-72,First,86,86,86,87,87,87
Alhué,71-72,Second,0,0,0,0,1,1
Alhué,73-74,First,64,64,65,65,65,65
Alhué,73-74,Second,0,0,0,0,1,1
Alhué,75-77,First,78,79,80,80,81,81
Alhué,75-77,Second,0,0,0,0,1,1
Alhué,78-79,First,44,44,44,45,45,45
Alhué,78-79,Second,0,0,0,1,5,5
Alhué,80 y más,First,160,162,163,163,163,163
